Returns & Firm Fee Breakdown,,,,
Principal,$1000.00,,,
Monthly Return,10%,,,
Firm Fee (of profit),10%,,,
Compounding,Monthly (10% per month),,,
,,,,
Month,Start Balance,Monthly Return,End Balance,Cumulative Profit
1,$1000.00,$100.00,$1100.00,$100.00
2,$1100.00,$110.00,$1210.00,$210.00
3,$1210.00,$121.00,$1331.00,$331.00
4,$1331.00,$133.10,$1464.10,$464.10
5,$1464.10,$146.41,$1610.51,$610.51
6,$1610.51,$161.05,$1771.56,$771.56
7,$1771.56,$177.16,$1948.72,$948.72
8,$1948.72,$194.87,$2143.59,$1143.59
9,$2143.59,$214.36,$2357.95,$1357.95
10,$2357.95,$235.79,$2593.74,$1593.74
11,$2593.74,$259.37,$2853.12,$1853.12
12,$2853.12,$285.31,$3138.43,$2138.43
,,,,
SUMMARY,,,,
Starting Balance,$1000.00,,,
Gross End Balance,$3138.43,,,
Total Profit,$2138.43,,,
Firm Fee (10% of profit),$213.84,,,
Client Net Profit,$1924.58,,,
Client Net Balance,$2924.58,,,
,,,,
"Note: 10% return per month, compounding for 12 months ($1000 x 1.10^12 = $3138.43). Firm takes 10% of PROFIT only (not principal): $213.84 fee, $1924.58 net to client.",,,,
